Date;Tipe;Vaule
2025-01-29;Withdrawal;5,13
2025-01-30;Deposit;5,00
2025-01-31;Deposit;20,00
2025-01-31;Withdrawal;8,22
2025-01-31;Withdrawal;20,00
2025-01-31;Withdrawal;7,22
2025-02-04;Deposit;10,00
2025-02-04;Withdrawal;14,00
2025-02-05;Deposit;10,00
2025-02-05;Deposit;20,00
2025-02-05;Withdrawal;22,32
2025-02-06;Deposit;2,00
2025-02-07;Deposit;9,72
2025-02-07;Deposit;5,00
2025-02-14;Deposit;10,00
2025-02-14;Deposit;1,00
2025-02-14;Withdrawal;10,00
2025-02-18;Deposit;9,70
2025-02-21;Deposit;1,00
2025-02-21;Deposit;1,00
2025-02-21;Deposit;1,00
2025-02-21;Deposit;0,84
2025-02-24;Deposit;20,00
2025-02-24;Withdrawal;20,00
2025-03-02;Deposit;1,00
2025-03-03;Deposit;4,03
2025-03-03;Deposit;1,00
2025-03-04;Deposit;10,00
2025-03-04;Deposit;1,88
2025-03-04;Withdrawal;10,00
2025-03-05;Deposit;1,00
2025-03-12;Deposit;10,00
2025-03-12;Withdrawal;10,00
2025-03-14;Withdrawal;20,00
2025-03-15;Deposit;1,00
2025-03-15;Deposit;1,00
2025-03-15;Deposit;1,00
2025-03-16;Withdrawal;20,00
2025-03-17;Deposit;20,00
2025-03-17;Withdrawal;20,00
2025-03-18;Deposit;10,00
2025-03-18;Withdrawal;16,19
2025-03-20;Deposit;7,50
2025-03-20;Deposit;1,00
2025-03-20;Deposit;1,00
2025-03-21;Deposit;1,00
2025-03-21;Deposit;1,00
2025-03-21;Withdrawal;8,82
2025-03-22;Deposit;10,00
2025-03-24;Deposit;10,00
2025-03-25;Withdrawal;6,61
2025-03-27;Deposit;10,00
2025-03-27;Deposit;10,00
2025-03-31;Deposit;2,70
2025-04-03;Deposit;1,00
2025-04-03;Deposit;1,00
2025-04-04;Deposit;20,00
2025-04-04;Deposit;20,00
2025-04-04;Deposit;20,00
2025-04-04;Withdrawal;20,00
2025-04-04;Withdrawal;20,00
2025-04-05;Deposit;20,00
2025-04-05;Deposit;2,00
2025-04-05;Withdrawal;20,00
2025-04-06;Deposit;2,50
2025-04-06;Deposit;44,35
2025-04-06;Deposit;54,46
2025-04-06;Withdrawal;54,46
2025-04-06;Withdrawal;41,98
2025-04-06;Withdrawal;22,00
2025-04-07;Deposit;10,00
2025-04-07;Deposit;1,00
2025-04-07;Withdrawal;16,06
2025-04-09;Deposit;20,00
2025-04-09;Deposit;1,62
2025-04-10;Deposit;10,00
2025-04-10;Deposit;0,99
2025-04-10;Withdrawal;65,11
2025-04-11;Deposit;10,00
2025-04-11;Deposit;20,00
2025-04-11;Deposit;40,00
2025-04-12;Deposit;20,00
2025-04-12;Deposit;4,90
2025-04-12;Deposit;45,56
2025-04-13;Deposit;5,00
2025-04-14;Deposit;40,00
2025-04-16;Deposit;0,10
2025-04-17;Deposit;3,30
2025-04-17;Withdrawal;3,40
2025-04-18;Deposit;29,84
2025-04-18;Withdrawal;3,96
2025-04-18;Withdrawal;29,84
2025-04-19;Deposit;2,50
2025-04-19;Withdrawal;36,79
2025-04-21;Deposit;1,00
2025-04-21;Deposit;1,00
2025-04-21;Deposit;1,00
2025-04-21;Deposit;10,00
2025-04-22;Deposit;52,24
2025-04-22;Deposit;18,52
2025-04-23;Deposit;10,00
2025-04-23;Withdrawal;88,52
2025-04-24;Withdrawal;17,54
2025-04-24;Withdrawal;3,12
2025-04-25;Deposit;23,40
2025-04-27;Deposit;10,00
2025-04-27;Deposit;89,36
2025-04-27;Deposit;2,00
2025-04-27;Withdrawal;81,20
2025-04-27;Withdrawal;100,00
2025-04-28;Deposit;21,55
2025-04-29;Withdrawal;30,25
2025-04-30;Deposit;20,00
2025-05-01;Deposit;52,80
2025-05-02;Deposit;67,39
2025-05-02;Withdrawal;145,54
2025-05-04;Withdrawal;12,81
2025-05-05;Deposit;6,00
2025-05-05;Deposit;1,00
2025-05-05;Deposit;6,24
2025-05-05;Withdrawal;9,99
2025-05-07;Deposit;10,00
2025-05-07;Withdrawal;10,30
2025-05-08;Deposit;10,00
2025-05-08;Deposit;1,00
2025-05-08;Deposit;1,00
2025-05-09;Deposit;1,00
2025-05-09;Deposit;2,00
2025-05-09;Withdrawal;8,91
2025-05-12;Deposit;5,00
2025-05-14;Deposit;5,00
2025-05-17;Deposit;20,00
2025-05-17;Withdrawal;20,00
2025-05-18;Deposit;2,00
2025-05-19;Deposit;5,00
2025-05-19;Deposit;4,05
2025-05-20;Deposit;5,00
2025-05-20;Withdrawal;2,26
2025-05-21;Deposit;5,90
2025-05-21;Deposit;10,00
2025-05-23;Deposit;6,76
2025-05-26;Deposit;1,00
2025-05-27;Deposit;5,00
2025-05-27;Deposit;2,00
2025-05-27;Deposit;0,04
2025-05-28;Deposit;14,10
2025-05-28;Withdrawal;11,05
2025-05-29;Withdrawal;10,00
2025-05-30;Deposit;2,00
2025-05-30;Withdrawal;14,00
2025-05-31;Deposit;10,00
2025-05-31;Withdrawal;20,50
2025-06-01;Deposit;5,00
2025-06-02;Deposit;5,00
2025-06-05;Deposit;5,00
2025-06-06;Deposit;5,00
2025-06-06;Deposit;2,00
2025-06-07;Deposit;4,00
2025-06-09;Withdrawal;0,64
2025-06-10;Deposit;5,00
2025-06-10;Deposit;5,00
2025-06-12;Deposit;14,93
2025-06-13;Deposit;5,00
2025-06-13;Deposit;5,00
2025-06-14;Deposit;13,30
2025-06-19;Deposit;5,00
2025-06-24;Deposit;1,00
2025-06-24;Deposit;1,00
2025-06-27;Withdrawal;7,11
2025-07-02;Deposit;20,00
2025-07-03;Withdrawal;21,60
2025-07-08;Deposit;20,00
2025-07-08;Withdrawal;20,00
2025-07-09;Withdrawal;22,40
2025-07-11;Deposit;2,00
2025-07-15;Deposit;20,00
2025-07-15;Withdrawal;36,43
2025-07-16;Deposit;20,00
2025-07-16;Withdrawal;33,84
2025-07-17;Deposit;30,00
2025-07-17;Withdrawal;34,19
2025-07-18;Deposit;5,00
2025-07-18;Withdrawal;7,52
2025-07-19;Deposit;20,00
2025-07-19;Deposit;5,00
2025-07-19;Withdrawal;2,64
2025-07-20;Deposit;5,00
2025-07-20;Deposit;20,00
2025-07-20;Deposit;9,29
2025-07-21;Deposit;20,00
2025-07-21;Withdrawal;14,22
2025-07-22;Deposit;9,62
2025-07-22;Withdrawal;7,83
2025-07-23;Deposit;26,10
2025-07-23;Deposit;20,00
2025-07-23;Deposit;3,32
2025-07-23;Withdrawal;13,97
2025-07-24;Deposit;9,80
2025-07-24;Withdrawal;45,78
2025-07-25;Deposit;4,30
2025-07-25;Withdrawal;12,95
2025-07-25;Withdrawal;12,69
2025-07-26;Deposit;10,64
2025-07-26;Deposit;10,00
2025-07-26;Withdrawal;32,84
2025-07-27;Deposit;5,00
2025-07-27;Deposit;9,09
2025-07-27;Withdrawal;14,09
2025-07-28;Deposit;21,28
2025-07-28;Deposit;50,00
2025-07-28;Withdrawal;51,50
2025-07-28;Withdrawal;6,77
2025-07-28;Withdrawal;31,28
2025-07-29;Deposit;39,04
2025-07-29;Deposit;0,90
2025-07-29;Deposit;3,03
2025-07-29;Deposit;8,33
2025-07-29;Withdrawal;53,25
2025-07-30;Deposit;12,31
2025-07-31;Deposit;71,61
2025-07-31;Deposit;2,00
2025-07-31;Deposit;3,90
2025-07-31;Withdrawal;76,01
2025-07-31;Withdrawal;40,08
2025-07-31;Withdrawal;38,67
2025-08-01;Deposit;6,94
2025-08-01;Deposit;75,68
2025-08-02;Deposit;6,10
2025-08-02;Deposit;7,69
2025-08-02;Deposit;50,00
2025-08-02;Withdrawal;82,46
2025-08-02;Withdrawal;11,10
2025-08-03;Deposit;5,03
2025-08-03;Deposit;17,29
2025-08-03;Deposit;28,51
2025-08-03;Withdrawal;62,04
2025-08-05;Deposit;1,25
2025-08-05;Deposit;40,00
2025-08-05;Deposit;30,50
2025-08-06;Deposit;30,00
2025-08-06;Withdrawal;169,97
2025-08-07;Deposit;44,50
2025-08-07;Deposit;15,38
2025-08-07;Deposit;16,13
2025-08-07;Withdrawal;81,94
2025-08-08;Withdrawal;40,15
2025-08-08;Withdrawal;21,33
2025-08-09;Deposit;5,68
2025-08-09;Deposit;1,00
2025-08-09;Deposit;1,14
2025-08-11;Deposit;2,00
2025-08-11;Deposit;12,03
2025-08-11;Withdrawal;36,60
2025-08-11;Withdrawal;30,60
2025-08-12;Deposit;30,00
2025-08-12;Deposit;6,58
2025-08-12;Withdrawal;46,36
2025-08-12;Withdrawal;30,40
2025-08-13;Deposit;18,68
2025-08-16;Deposit;10,00
2025-08-16;Deposit;10,00
2025-08-16;Withdrawal;67,94
2025-08-17;Deposit;50,00
2025-08-17;Deposit;5,00
2025-08-17;Deposit;9,50
2025-08-17;Deposit;2,00
2025-08-17;Deposit;2,00
2025-08-17;Withdrawal;60,00
2025-08-19;Withdrawal;30,00
2025-08-20;Deposit;15,00
2025-08-20;Deposit;2,00
2025-08-23;Deposit;20,00
2025-08-23;Deposit;10,00
2025-08-23;Withdrawal;20,00
2025-08-25;Deposit;10,00
2025-08-25;Deposit;5,00
2025-08-25;Deposit;3,11
2025-08-29;Deposit;13,33
2025-08-29;Withdrawal;31,52
2025-08-31;Deposit;20,00
2025-08-31;Withdrawal;20,00
2025-09-01;Deposit;30,00
2025-09-01;Withdrawal;20,40
2025-09-02;Deposit;20,00
2025-09-02;Deposit;2,00
2025-09-02;Deposit;5,00
2025-09-02;Withdrawal;48,28
2025-09-02;Withdrawal;49,36
2025-09-03;Deposit;20,00
2025-09-03;Deposit;5,00
2025-09-04;Deposit;7,14
2025-09-04;Deposit;19,48
2025-09-04;Deposit;28,49
2025-09-04;Deposit;55,11
2025-09-04;Deposit;1,00
2025-09-04;Deposit;10,00
2025-09-04;Withdrawal;11,25
2025-09-05;Deposit;5,00
2025-09-05;Withdrawal;5,32
2025-09-05;Withdrawal;122,34
2025-09-06;Deposit;3,51
2025-09-06;Deposit;3,85
2025-09-06;Deposit;6,96
2025-09-06;Deposit;4,39
2025-09-07;Deposit;4,45
2025-09-08;Deposit;64,10
2025-09-09;Deposit;6,67
2025-09-10;Withdrawal;98,83
2025-09-12;Deposit;56,08
2025-09-12;Deposit;5,00
2025-09-13;Deposit;13,16
2025-09-13;Deposit;12,40
2025-09-13;Withdrawal;25,42
2025-09-14;Deposit;0,60
2025-09-14;Deposit;2,65
2025-09-17;Deposit;31,46
2025-09-17;Deposit;23,15
2025-09-17;Deposit;5,00
2025-09-17;Deposit;5,00
2025-09-17;Withdrawal;112,84
2025-09-18;Withdrawal;6,99
2025-09-19;Deposit;5,00
2025-09-19;Deposit;2,76
2025-09-20;Withdrawal;28,18
2025-09-22;Withdrawal;23,71
2025-09-24;Deposit;8,99
2025-09-24;Deposit;20,00
2025-09-25;Deposit;20,00
2025-09-26;Withdrawal;32,84
2025-09-26;Withdrawal;24,26
2025-09-27;Deposit;12,50
2025-09-28;Withdrawal;15,00
2025-09-28;Withdrawal;23,95
2025-09-30;Deposit;1,70
2025-10-01;Deposit;27,33
2025-10-01;Withdrawal;139,90
2025-10-02;Deposit;5,00
2025-10-02;Deposit;10,00
2025-10-03;Deposit;4,45
2025-10-03;Deposit;20,00
2025-10-03;Withdrawal;41,45
2025-10-04;Deposit;37,74
2025-10-05;Deposit;2,48
2025-10-06;Deposit;8,49
2025-10-06;Withdrawal;94,11
2025-10-07;Deposit;46,51
2025-10-09;Deposit;25,00
2025-10-11;Withdrawal;44,71
2025-10-15;Deposit;15,87
2025-10-17;Deposit;18,61
2025-10-17;Deposit;15,00
2025-10-17;Deposit;15,63
2025-10-19;Deposit;16,81
2025-10-20;Deposit;20,00
2025-10-21;Deposit;14,00
2025-10-21;Deposit;13,58
2025-10-23;Deposit;17,05
2025-10-25;Deposit;50,86
2025-10-26;Deposit;24,08
2025-10-27;Deposit;5,95
2025-10-27;Deposit;5,00
2025-10-28;Withdrawal;8,25
2025-10-29;Withdrawal;2,93
2025-10-29;Withdrawal;6,47
2025-10-30;Deposit;5,00
2025-10-30;Deposit;7,58
2025-10-30;Withdrawal;42,88
2025-10-31;Deposit;8,66
2025-10-31;Deposit;1,59
2025-11-01;Deposit;10,95
2025-11-01;Deposit;14,47
2025-11-01;Deposit;11,54
2025-11-01;Withdrawal;15,54
2025-11-02;Deposit;5,88
2025-11-02;Withdrawal;46,14
2025-11-03;Deposit;60,00
2025-11-03;Deposit;10,00
2025-11-03;Deposit;17,54
2025-11-04;Withdrawal;70,29
2025-11-06;Deposit;11,45
2025-11-06;Deposit;11,81
2025-11-07;Deposit;27,27
2025-11-08;Deposit;14,85
2025-11-08;Deposit;23,08
2025-11-09;Deposit;58,25
2025-11-09;Deposit;1,99
2025-11-09;Deposit;60,00
2025-11-10;Deposit;13,64
2025-11-10;Withdrawal;106,15
2025-11-10;Withdrawal;72,10
2025-11-11;Deposit;28,30
2025-11-12;Withdrawal;45,69
2025-11-13;Deposit;23,81
2025-11-14;Deposit;51,72
2025-11-15;Deposit;48,39
2025-11-15;Deposit;23,44
2025-11-15;Withdrawal;101,52
2025-11-16;Withdrawal;94,24
2025-11-17;Withdrawal;15,13
2025-11-19;Deposit;24,19
2025-11-20;Deposit;28,85
2025-11-21;Deposit;24,39
2025-11-22;Deposit;29,70
2025-11-24;Deposit;100,00
2025-11-24;Withdrawal;107,76
2025-11-24;Withdrawal;30,66
2025-11-25;Deposit;25,00
2025-11-27;Deposit;3,69
2025-11-28;Deposit;100,00
2025-11-28;Withdrawal;31,09
2025-11-28;Withdrawal;106,39
2025-11-28;Withdrawal;26,41
2025-11-29;Deposit;20,00
2025-11-29;Deposit;15,00
2025-11-29;Deposit;5,21
2025-11-30;Deposit;20,00
2025-11-30;Withdrawal;41,00
2025-11-30;Withdrawal;52,21
2025-12-01;Deposit;40,00
2025-12-02;Deposit;49,94
2025-12-02;Withdrawal;87,25
2025-12-03;Deposit;20,02
2025-12-04;Deposit;10,00
2025-12-05;Deposit;15,59
2025-12-06;Deposit;5,00
2025-12-06;Deposit;5,00
2025-12-06;Withdrawal;61,20
2025-12-08;Deposit;20,00
2025-12-09;Withdrawal;30,40
2025-12-11;Deposit;0,23
2025-12-11;Deposit;5,46
2025-12-11;Withdrawal;28,39
2025-12-12;Deposit;5,00
2025-12-13;Withdrawal;30,52
2025-12-14;Deposit;8,26
2025-12-14;Deposit;5,00
2025-12-15;Deposit;20,00
2025-12-15;Deposit;20,00
2025-12-15;Withdrawal;21,20
2025-12-18;Deposit;38,31
2025-12-19;Deposit;5,00
2025-12-20;Deposit;50,00
2025-12-20;Deposit;20,00
2025-12-20;Withdrawal;116,44
2025-12-21;Withdrawal;26,21
2025-12-22;Deposit;10,00
2025-12-22;Withdrawal;43,79
2025-12-23;Deposit;13,01
2025-12-23;Deposit;7,69
2025-12-24;Deposit;10,00
2025-12-24;Deposit;17,25
2025-12-24;Withdrawal;41,24
2025-12-25;Deposit;19,45
2025-12-26;Deposit;100,00
2025-12-26;Withdrawal;85,00
2025-12-27;Withdrawal;51,25
2025-12-28;Withdrawal;5,05
2025-12-29;Deposit;20,00
2025-12-29;Withdrawal;30,00
2025-12-30;Deposit;20,54
2025-12-30;Deposit;7,46
2025-12-31;Deposit;29,80
2025-12-31;Withdrawal;62,10
2026-01-01;Deposit;5,00
2026-01-02;Deposit;8,54
2026-01-03;Deposit;19,50
2026-01-04;Deposit;43,01
2026-01-04;Withdrawal;78,01
2026-01-06;Withdrawal;6,30
2026-01-07;Deposit;10,00
2026-01-08;Deposit;30,00
2026-01-08;Deposit;19,40
2026-01-10;Deposit;40,00
2026-01-11;Deposit;20,00
2026-01-11;Deposit;40,82
2026-01-11;Withdrawal;81,02
2026-01-12;Withdrawal;21,20
2026-01-13;Deposit;26,14
2026-01-14;Deposit;25,00
2026-01-15;Deposit;38,95
2026-01-16;Withdrawal;90,40
2026-01-17;Deposit;40,00
2026-01-17;Deposit;20,00
2026-01-17;Deposit;40,00
2026-01-20;Deposit;100,00
2026-01-21;Withdrawal;89,81
2026-01-23;Deposit;40,00
2026-01-24;Deposit;40,00
2026-01-24;Deposit;19,40
2026-01-25;Deposit;50,00
2026-01-25;Deposit;50,00
2026-01-26;Deposit;40,00
2026-01-26;Withdrawal;149,00
2026-01-27;Deposit;100,00
2026-01-27;Deposit;5,00
2026-01-29;Withdrawal;124,50
2026-01-30;Deposit;4,55
2026-01-30;Deposit;10,00
2026-01-30;Withdrawal;21,20
